"tab_code","表章項目","cat01_code","確定値","cat02_code","男女別","cat03_code","年齢5歳階級","cat04_code","人口","area_code","全国","time_code","時間軸（年月日現在）","unit","value"
"001","人口","01","確定値","000","男女計","01000","総数","002","日本人人口","00000","全国","2025000404","2025年4月","千人","119781"
"001","人口","01","確定値","000","男女計","01000","総数","002","日本人人口","00000","全国","2025000505","2025年5月","千人","119693"
"001","人口","01","確定値","000","男女計","01000","総数","002","日本人人口","00000","全国","2025000606","2025年6月","千人","119636"
"001","人口","01","確定値","000","男女計","01000","総数","002","日本人人口","00000","全国","2025000707","2025年7月","千人","119619"
"001","人口","01","確定値","000","男女計","01000","総数","002","日本人人口","00000","全国","2025000808","2025年8月","千人","119583"
"001","人口","01","確定値","000","男女計","01000","総数","003","外国人人口","00000","全国","2024001111","2024年11月","千人","3557"
"001","人口","01","確定値","000","男女計","01000","総数","003","外国人人口","00000","全国","2024001212","2024年12月","千人","3589"
"001","人口","01","確定値","000","男女計","01000","総数","003","外国人人口","00000","全国","2025000101","2025年1月","千人","3402"
"001","人口","01","確定値","000","男女計","01000","総数","003","外国人人口","00000","全国","2025000202","2025年2月","千人","3475"
"001","人口","01","確定値","000","男女計","01000","総数","003","外国人人口","00000","全国","2025000303","2025年3月","千人","3565"
"001","人口","01","確定値","000","男女計","01000","総数","003","外国人人口","00000","全国","2025000404","2025年4月","千人","3616"
"001","人口","01","確定値","000","男女計","01000","総数","003","外国人人口","00000","全国","2025000505","2025年5月","千人","3649"
"001","人口","01","確定値","000","男女計","01000","総数","003","外国人人口","00000","全国","2025000606","2025年6月","千人","3735"
"001","人口","01","確定値","000","男女計","01000","総数","003","外国人人口","00000","全国","2025000707","2025年7月","千人","3748"
"001","人口","01","確定値","000","男女計","01000","総数","003","外国人人口","00000","全国","2025000808","2025年8月","千人","3685"
"001","人口","01","確定値","000","男女計","01001","0～4歳","001","総人口","00000","全国","2020001010","2020年10月","千人","4541"
"001","人口","01","確定値","000","男女計","01001","0～4歳","001","総人口","00000","全国","2020001111","2020年11月","千人","4530"
"001","人口","01","確定値","000","男女計","01001","0～4歳","001","総人口","00000","全国","2020001212","2020年12月","千人","4518"
"001","人口","01","確定値","000","男女計","01001","0～4歳","001","総人口","00000","全国","2021000101","2021年1月","千人","4503"
"001","人口","01","確定値","000","男女計","01001","0～4歳","001","総人口","00000","全国","2021000202","2021年2月","千人","4484"
"001","人口","01","確定値","000","男女計","01001","0～4歳","001","総人口","00000","全国","2021000303","2021年3月","千人","4466"
"001","人口","01","確定値","000","男女計","01001","0～4歳","001","総人口","00000","全国","2021000404","2021年4月","千人","4453"
"001","人口","01","確定値","000","男女計","01001","0～4歳","001","総人口","00000","全国","2021000505","2021年5月","千人","4444"
"001","人口","01","確定値","000","男女計","01001","0～4歳","001","総人口","00000","全国","2021000606","2021年6月","千人","4432"
"001","人口","01","確定値","000","男女計","01001","0～4歳","001","総人口","00000","全国","2021000707","2021年7月","千人","4421"
"001","人口","01","確定値","000","男女計","01001","0～4歳","001","総人口","00000","全国","2021000808","2021年8月","千人","4411"
"001","人口","01","確定値","000","男女計","01001","0～4歳","001","総人口","00000","全国","2021000909","2021年9月","千人","4400"
"001","人口","01","確定値","000","男女計","01001","0～4歳","001","総人口","00000","全国","2021001010","2021年10月","千人","4389"
"001","人口","01","確定値","000","男女計","01001","0～4歳","001","総人口","00000","全国","2021001111","2021年11月","千人","4378"
"001","人口","01","確定値","000","男女計","01001","0～4歳","001","総人口","00000","全国","2021001212","2021年12月","千人","4370"
