都道府県,国籍,時点,人口
岡山県,スリランカ,2024/06,319
広島県,スリランカ,2024/06,321
山口県,スリランカ,2024/06,117
徳島県,スリランカ,2024/06,68
香川県,スリランカ,2024/06,85
愛媛県,スリランカ,2024/06,107
高知県,スリランカ,2024/06,25
福岡県,スリランカ,2024/06,1413
佐賀県,スリランカ,2024/06,183
長崎県,スリランカ,2024/06,157
熊本県,スリランカ,2024/06,218
大分県,スリランカ,2024/06,658
宮崎県,スリランカ,2024/06,71
鹿児島県,スリランカ,2024/06,100
沖縄県,スリランカ,2024/06,327
未定・不詳,スリランカ,2024/06,428
総数,インド,2024/06,51345
北海道,インド,2024/06,1548
青森県,インド,2024/06,52
岩手県,インド,2024/06,105
宮城県,インド,2024/06,305
秋田県,インド,2024/06,40
山形県,インド,2024/06,57
福島県,インド,2024/06,208
茨城県,インド,2024/06,2085
栃木県,インド,2024/06,1240
群馬県,インド,2024/06,1310
埼玉県,インド,2024/06,2239
千葉県,インド,2024/06,2583
東京都,インド,2024/06,19290
神奈川県,インド,2024/06,8161
新潟県,インド,2024/06,140
富山県,インド,2024/06,232
石川県,インド,2024/06,186
福井県,インド,2024/06,51
山梨県,インド,2024/06,381
長野県,インド,2024/06,154
岐阜県,インド,2024/06,275
静岡県,インド,2024/06,1113
愛知県,インド,2024/06,1701
三重県,インド,2024/06,166
滋賀県,インド,2024/06,255
京都府,インド,2024/06,634
大阪府,インド,2024/06,1773
兵庫県,インド,2024/06,1706
奈良県,インド,2024/06,99
和歌山県,インド,2024/06,88
鳥取県,インド,2024/06,39
島根県,インド,2024/06,67
岡山県,インド,2024/06,170
広島県,インド,2024/06,532
山口県,インド,2024/06,72
徳島県,インド,2024/06,93
香川県,インド,2024/06,72
愛媛県,インド,2024/06,91
高知県,インド,2024/06,93
福岡県,インド,2024/06,609
佐賀県,インド,2024/06,47
長崎県,インド,2024/06,121
熊本県,インド,2024/06,140
大分県,インド,2024/06,164
宮崎県,インド,2024/06,78
鹿児島県,インド,2024/06,59
沖縄県,インド,2024/06,416
未定・不詳,インド,2024/06,305
総数,ペルー,2024/06,49247
北海道,ペルー,2024/06,61
青森県,ペルー,2024/06,10
岩手県,ペルー,2024/06,18
宮城県,ペルー,2024/06,31
秋田県,ペルー,2024/06,8
山形県,ペルー,2024/06,12
福島県,ペルー,2024/06,44
茨城県,ペルー,2024/06,1643
栃木県,ペルー,2024/06,3178
群馬県,ペルー,2024/06,4918
埼玉県,ペルー,2024/06,3342
千葉県,ペルー,2024/06,2699
東京都,ペルー,2024/06,2231
神奈川県,ペルー,2024/06,6497
新潟県,ペルー,2024/06,60
富山県,ペルー,2024/06,59
石川県,ペルー,2024/06,90
福井県,ペルー,2024/06,66
山梨県,ペルー,2024/06,664
長野県,ペルー,2024/06,461
岐阜県,ペルー,2024/06,905
静岡県,ペルー,2024/06,4804
愛知県,ペルー,2024/06,7934
三重県,ペルー,2024/06,3382
滋賀県,ペルー,2024/06,1599
京都府,ペルー,2024/06,182
大阪府,ペルー,2024/06,1356
兵庫県,ペルー,2024/06,815
奈良県,ペルー,2024/06,167
和歌山県,ペルー,2024/06,20
鳥取県,ペルー,2024/06,2
島根県,ペルー,2024/06,8
岡山県,ペルー,2024/06,130
広島県,ペルー,2024/06,684
山口県,ペルー,2024/06,43
徳島県,ペルー,2024/06,15
香川県,ペルー,2024/06,425
愛媛県,ペルー,2024/06,44
高知県,ペルー,2024/06,8
福岡県,ペルー,2024/06,240
佐賀県,ペルー,2024/06,2
長崎県,ペルー,2024/06,17
熊本県,ペルー,2024/06,10
大分県,ペルー,2024/06,28
宮崎県,ペルー,2024/06,6
鹿児島県,ペルー,2024/06,16
沖縄県,ペルー,2024/06,288
未定・不詳,ペルー,2024/06,25
総数,バングラデシュ,2024/06,31536
北海道,バングラデシュ,2024/06,304
青森県,バングラデシュ,2024/06,22
岩手県,バングラデシュ,2024/06,133
宮城県,バングラデシュ,2024/06,492
秋田県,バングラデシュ,2024/06,13
山形県,バングラデシュ,2024/06,74
福島県,バングラデシュ,2024/06,169
茨城県,バングラデシュ,2024/06,1377
栃木県,バングラデシュ,2024/06,779
群馬県,バングラデシュ,2024/06,1907
埼玉県,バングラデシュ,2024/06,4354
千葉県,バングラデシュ,2024/06,1905
東京都,バングラデシュ,2024/06,7239
神奈川県,バングラデシュ,2024/06,2272
新潟県,バングラデシュ,2024/06,142
富山県,バングラデシュ,2024/06,165
石川県,バングラデシュ,2024/06,241
福井県,バングラデシュ,2024/06,125
山梨県,バングラデシュ,2024/06,90
長野県,バングラデシュ,2024/06,181
岐阜県,バングラデシュ,2024/06,338
静岡県,バングラデシュ,2024/06,579
愛知県,バングラデシュ,2024/06,1293
三重県,バングラデシュ,2024/06,242
滋賀県,バングラデシュ,2024/06,100
京都府,バングラデシュ,2024/06,583
大阪府,バングラデシュ,2024/06,1791
兵庫県,バングラデシュ,2024/06,1495
奈良県,バングラデシュ,2024/06,174
和歌山県,バングラデシュ,2024/06,41
鳥取県,バングラデシュ,2024/06,29
島根県,バングラデシュ,2024/06,142
岡山県,バングラデシュ,2024/06,300
広島県,バングラデシュ,2024/06,569
山口県,バングラデシュ,2024/06,169
徳島県,バングラデシュ,2024/06,92
香川県,バングラデシュ,2024/06,99
愛媛県,バングラデシュ,2024/06,100
高知県,バングラデシュ,2024/06,95
福岡県,バングラデシュ,2024/06,458
佐賀県,バングラデシュ,2024/06,109
長崎県,バングラデシュ,2024/06,31
熊本県,バングラデシュ,2024/06,110
大分県,バングラデシュ,2024/06,248
宮崎県,バングラデシュ,2024/06,105
鹿児島県,バングラデシュ,2024/06,72
沖縄県,バングラデシュ,2024/06,92
未定・不詳,バングラデシュ,2024/06,96
総数,パキスタン,2024/06,27642
北海道,パキスタン,2024/06,732
青森県,パキスタン,2024/06,94
岩手県,パキスタン,2024/06,83
宮城県,パキスタン,2024/06,477
秋田県,パキスタン,2024/06,47
山形県,パキスタン,2024/06,90
福島県,パキスタン,2024/06,230
茨城県,パキスタン,2024/06,3143
栃木県,パキスタン,2024/06,1937
群馬県,パキスタン,2024/06,1518
埼玉県,パキスタン,2024/06,3767
千葉県,パキスタン,2024/06,2310
東京都,パキスタン,2024/06,1686
神奈川県,パキスタン,2024/06,1629
新潟県,パキスタン,2024/06,426
